game_id,team1,team2,link
0,Panthers,Bears,https://www.pro-football-reference.com/boxscores/202311090chi.htm
1,Colts,Patriots,https://www.pro-football-reference.com/boxscores/202311120nwe.htm
2,Texans,Bengals,https://www.pro-football-reference.com/boxscores/202311120cin.htm
3,49ers,Jaguars,https://www.pro-football-reference.com/boxscores/202311120jax.htm
4,Saints,Vikings,https://www.pro-football-reference.com/boxscores/202311120min.htm
5,Packers,Steelers,https://www.pro-football-reference.com/boxscores/202311120pit.htm
6,Browns,Ravens,https://www.pro-football-reference.com/boxscores/202311120rav.htm
7,Titans,Buccaneers,https://www.pro-football-reference.com/boxscores/202311120tam.htm
8,Falcons,Cardinals,https://www.pro-football-reference.com/boxscores/202311120crd.htm
9,Lions,Chargers,https://www.pro-football-reference.com/boxscores/202311120sdg.htm
10,Giants,Cowboys,https://www.pro-football-reference.com/boxscores/202311120dal.htm
11,Commanders,Seahawks,https://www.pro-football-reference.com/boxscores/202311120sea.htm
12,Jets,Raiders,https://www.pro-football-reference.com/boxscores/202311120rai.htm
13,Broncos,Bills,https://www.pro-football-reference.com/boxscores/202311130buf.htm
