Quarter,Time,Down,ToGo,Location,Away,Home,Detail,EPB,EPA,field_side,yardline,play_start_time,Play_Type,posession,Yardage,away,home,possession,game_id
1,15:00,,,NYJ 35,,,"Greg Zuerlein kicks off 65 yards, touchback.",0.000,0.610,NYJ,35.0,0.0,Special Teams,,0.0,0,0,BUF,1.0
1,15:00,1,10,BUF 25,,,Josh Allen pass complete short right to Stefon Diggs for 7 yards (tackle by Sauce Gardner),0.610,1.010,BUF,25.0,0.0,Pass,,7.0,0,0,BUF,1.0
1,14:34,2,3,BUF 32,,,Josh Allen pass complete short left to Deonte Harty for 5 yards (tackle by Quincy Williams),1.010,1.400,BUF,32.0,0.43333333333333357,Pass,,5.0,0,0,BUF,1.0
1,13:58,1,10,BUF 37,,,James Cook up the middle for 3 yards (tackle by Jermaine Johnson and John Franklin-Myers),1.400,1.260,BUF,37.0,1.0333333333333332,Run,,3.0,0,0,BUF,1.0
1,13:25,2,7,BUF 40,,,James Cook up the middle for 2 yards (tackle by John Franklin-Myers and Quinnen Williams),1.260,0.830,BUF,40.0,1.583333333333334,Run,,2.0,0,0,BUF,1.0
1,12:39,3,5,BUF 42,,,Josh Allen pass incomplete short left intended for Stefon Diggs,0.830,-0.590,BUF,42.0,2.3499999999999996,Pass,,0.0,0,0,BUF,1.0
1,12:31,4,5,BUF 42,,,"Sam Martin punts 46 yards, fair catch by Xavier Gipson at NYJ-12",-0.590,0.350,BUF,42.0,2.4833333333333325,Special Teams,,0.0,0,0,BUF,1.0
1,11:53,1,10,NYJ 38,,,Aaron Rodgers pass incomplete deep right,1.470,0.920,NYJ,38.0,3.116666666666667,Pass,,0.0,0,0,NYJ,1.0
1,11:48,2,10,NYJ 38,,,"Aaron Rodgers pass incomplete short right intended for Tyler Conklin. Penalty on Terrel Bernard: Defensive Holding, 5 yards (accepted) (no play)",0.920,1.800,NYJ,38.0,3.1999999999999993,Pass,,5.0,0,0,NYJ,1.0
1,11:40,1,10,NYJ 43,,,Aaron Rodgers sacked by Leonard Floyd for -10 yards,1.800,-0.100,NYJ,43.0,3.333333333333334,Run,,-10.0,0,0,NYJ,1.0
1,10:56,2,20,NYJ 33,,,Zach Wilson pass complete short left to Garrett Wilson for 7 yards (tackle by Matt Milano and Micah Hyde),-0.100,0.170,NYJ,33.0,4.066666666666666,Pass,,7.0,0,0,NYJ,1.0
1,10:15,3,13,NYJ 40,,,Zach Wilson pass complete short left to Michael Carter for 6 yards (tackle by Micah Hyde and Matt Milano),0.170,-0.320,NYJ,40.0,4.75,Pass,,6.0,0,0,NYJ,1.0
1,9:38,4,7,NYJ 46,,,Thomas Morstead punts 31 yards out of bounds,-0.320,-0.540,NYJ,46.0,5.366666666666667,Special Teams,,0.0,0,0,NYJ,1.0
1,9:24,1,15,BUF 18,,,James Cook right tackle for 5 yards (tackle by Quincy Williams),0.000,-0.070,BUF,18.0,5.6,Run,,5.0,0,0,BUF,1.0
